sku,name,category,room,style,material,colour,price_inr,dimensions_cm,description
SB-5001,Kyoto Side Table,side table,bedroom,japandi,solid ash,pale ash,13400,45x40x52,Single open shelf. Height matches the Kyoto Platform Bed.
SB-5002,Aalto Nightstand,side table,bedroom,scandinavian,oak,natural oak,15900,48x42x55,"One drawer, one open shelf."
SB-5003,Drum Side Table,side table,living,bohemian,hammered brass,antique brass,21000,40 dia x 50,Hand-hammered brass drum. Marks easily; wipe dry.
SB-5004,Slab Coffee Table,coffee table,living,minimalist,sintered stone on steel,off white,34000,120x60x35,"Rectangular, low. Heavy for its size."
SB-5005,Kyoto Low Table,coffee table,living,japandi,solid ash,pale ash,26500,110x55x32,Deliberately low to sit with the Kyoto Low Sofa.
SB-5006,Malabar Nesting Tables,coffee table,living,traditional_indian,solid teak,honey teak,29500,60x60x45 and 45x45x40,Pair of nesting tables in solid teak.
SB-6001,Aalto Wardrobe,wardrobe,bedroom,scandinavian,oak veneer on engineered core,natural oak,72000,180x60x210,Two-door with a hanging rail and four shelves.
SB-6002,Walnut Wardrobe,wardrobe,bedroom,modern,walnut veneer on engineered core,dark walnut,84000,220x62x220,Three-door sliding wardrobe with an internal drawer bank.
SB-6003,Haveli Almirah,wardrobe,bedroom,traditional_indian,solid sheesham,dark walnut,110000,150x60x200,Carved two-door almirah with a full-length mirror inside.
SB-7001,Paper Pendant Lamp,lamp,living,scandinavian,rice paper and steel,white,4200,45 dia x 45,Diffuse overhead light. Ships flat.
SB-7002,Kyoto Floor Lamp,lamp,bedroom,japandi,ash and linen shade,oatmeal,9800,35 dia x 150,"Warm, low-glare floor lamp. Reading-height shade."
SB-7003,Brass Task Lamp,lamp,bedroom,modern,brass and steel,antique brass,7600,20x45x55,Adjustable arm table lamp for a bedside or desk.
SB-7004,Jaali Pendant,lamp,dining,traditional_indian,pierced brass,antique brass,16800,35 dia x 40,Pierced brass shade that throws a patterned light onto the ceiling.
SB-8001,Kilim Rug 170x240,rug,living,bohemian,handwoven wool,rust multi,24500,170x240,Flatweave wool kilim. Reversible; no pile.
SB-8002,Loop Rug 200x300,rug,living,minimalist,wool blend,greige,31000,200x300,Low-loop pile in a plain greige. Hides footfall well.
SB-8003,Jute Rug 160x230,rug,dining,bohemian,natural jute,natural,11900,160x230,Hardwearing jute. Rough underfoot; usually used under a dining table.
SB-9001,Aalto Sideboard,storage,dining,scandinavian,oak,natural oak,49000,180x45x75,Three doors and an internal drawer. Also used as a TV unit.
SB-9002,Slab Media Unit,storage,living,minimalist,engineered wood with matte lacquer,off white,27500,180x40x45,Low media unit with cable routing at the back.
SB-9003,Malabar Bookcase,storage,living,traditional_indian,solid teak,honey teak,42000,90x35x200,Five fixed shelves in solid teak. Very heavy once loaded.
